Last_Name,First_Name,Relationship,Phone,Address,Email,Notes
Thompson,Michael Robert,Son,(203) 555-4521,"9821 Riverside Road, Westport, CT 06880",mthompson.contractor@email.com,Alternate executor
Mitchell,David,Son-in-law,(203) 555-9824,"456 Oak Street, Apt 3B, New Haven, CT 06511",dmitchell@lawfirm.com,Married to Sarah
Mitchell,Emma,Grandchild,,"456 Oak Street, Apt 3B, New Haven, CT 06511",,Age 12
Mitchell,Lucas,Grandchild,,"456 Oak Street, Apt 3B, New Haven, CT 06511",,Age 9
Castellano,Anthony Jr.,Son,(203) 555-7865,"234 Spring Street, Greenwich, CT 06830",ajc.finance@email.com,Investment banker
Castellano,Isabella Marie,Daughter,(203) 555-3421,"78 Park Place, Unit 12, Norwalk, CT 06851",bella.castellano@school.edu,Teacher
Castellano,Vincent Paul,Son,(203) 555-2341,"1592 Highland Avenue, Stamford, CT 06905",,Lives with parents
Henderson,William Charles,Son,(860) 555-1234,"8901 Corporate Drive, Suite 200, Hartford, CT 06103",wchenderson@insurance.com,Successor trustee
Henderson-Davis,Patricia,Daughter,(203) 555-6789,"234 Elm Street, Wilton, CT 06897",pdavis.realestate@email.com,Real estate agent
Foster,Jessica Lynn,Daughter,(617) 555-9012,"789 University Avenue, Boston, MA 02115",jfoster@university.edu,PhD student
Foster,Ryan Matthew,Son,(617) 555-3456,"456 Tech Park Drive, Apt 7C, Cambridge, MA 02142",rfoster.tech@email.com,Software engineer
